id,surname,forename,initials,age_text,honours,date_of_death,date_of_death2,rank,regiment,secondary_regiment,unitshipsquadron,country,servicenumberexport,cemeterymemorial,gravereference,additionalinformation,
112001,ABBOT-ANDERSON,,F W,,,02/01/1916,,Lieutenant Colonel,King's Own (Royal Lancaster Regiment),,Commanding 6th Bn.,Egypt,,CAIRO WAR MEMORIAL CEMETERY,D. 243.,
100710,ANDERSON,WALTER BERNARD,W B,23,,26/03/1918,,Private,Argyll and Sutherland Highlanders,,10th Bn.,Belgium,'S/22921',ARTILLERY WOOD CEMETERY,II. C. 14.,"Son of John Walter and Anna Maria Anderson. Native of Hawick, Roxburghshire."
100711,ANDERSON,WILLIAM G.,W G,,Mentioned in Despatches,20/09/1917,,Acting Bombardier,Royal Field Artillery,,92nd Bty. 17th Bde.,Belgium,'184124',ARTILLERY WOOD CEMETERY,I. B. 25.,
101874,ANDERSON,,W,19,,30/03/1918,,Lance Corporal,Royal Scots,,"""B"" Coy. 9th Bn.",France,'352462',ETRETAT CHURCHYARD EXTENSION,II. B. 12.,"Son of Mr. and Mrs. Alex Anderson, of 29, Adams Row, Millerhill, Dalkeith."
102149,ANDERSON,LYNTON VERE,L V,24,,15/11/1918,,Private,Australian Machine Gun Corps,,2nd Bn.,France,'6470',TOURGEVILLE MILITARY CEMETERY,VII. B. 2.,"Son of Alexander and Eliza C. Anderson, of Brentwood, South Australia."
102918,ANDERSON,,G,,,20/06/1917,,Private,Cameronians (Scottish Rifles),,2nd Bn.,Belgium,'40881',PERTH CEMETERY (CHINA WALL),I. B. 7.,
102919,ANDERSON,RICHARD WILLIAM LAURENCE,R W L,,,12/06/1917,,Flight Lieutenant,Royal Flying Corps,General List,1st Sqdn.,Belgium,,PERTH CEMETERY (CHINA WALL),XVI. A. 4.,
102920,ANDERSON,WILLIAM,W,19,,01/10/1915,,Private,Gordon Highlanders,,4th Bn.,Belgium,'3958',PERTH CEMETERY (CHINA WALL),X. C. 27.,"Son of Charles and Jane Anderson, of Bandley Farm, Alford, Aberdeen."
104404,ANDERSON,,D,,,12/04/1918,,Private,Seaforth Highlanders,,7th Bn.,Belgium,'235083',VOORMEZEELE ENCLOSURES NO.1 AND NO.2,I. K. 52.,
104405,ANDERSON,HENRY ALBERT,H A,21,,05/03/1915,,Rifleman,Rifle Brigade,,4th Bn.,Belgium,'4477',VOORMEZEELE ENCLOSURES NO.1 AND NO.2,II. B. 11.,
105337,ANDERSON,SILAS,S,,,20/07/1917,,Gunner,Royal Garrison Artillery,,161st Siege Bty.,Belgium,'132787',CROONAERT CHAPEL CEMETERY,C. 12.,"Husband of Mrs. J. E. A. Reynolds (formerly Anderson), of 22, Railway Crescent, Cymmer, Port Talbot, Glam."
1056844,ANDERSON,ALEXANDER ARTHUR,A A,24,,09/04/1944,,Private,King's Own Scottish Borderers,,2nd Bn.,Bangladesh,'2759714',MAYNAMATI WAR CEMETERY,4. B. 15.,"Son of Hugh and Jane Anderson, of Trinity, Edinburgh."
1056845,ANDERSON,REGINALD DAVID,R D,23,,12/03/1945,,Captain,"Probyn's Horse (5th King Edward's Own Lancers), I.A.C.",,,Bangladesh,'EC/4220',MAYNAMATI WAR CEMETERY,3. B. 10.,"Son of Lt.-Col. Reginald Hugh Anderson and Ellison Janet Anderson, of Wokingham, Berkshire."
106706,ANDERSON,,E,,,01/07/1916,,Private,"Australian Infantry, A.I.F.",,25th Bn.,Belgium,'285',BERKS CEMETERY EXTENSION,II. C. 5.,
107605,ANDERSON,,J,19,,19/11/1917,,Private,Queen's Own (Royal West Kent Regiment),,1st Bn.,Belgium,'G/20056',KORTRIJK (ST. JAN) COMMUNAL CEMETERY,C. 41.,"Son of Walker and Eva Ellen Anderson, of Lord St., Idrighlington, Bradford, Yorks."
108000,ANDERSON,PATRICK SINCLAIR,P S,32,Mentioned in Despatches,30/04/1915,,Second Lieutenant,"Australian Infantry, A.I.F.",,4th Bn.,Egypt,'',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,Q. 430.," Son of John Archibald and Mary Constance Anderson, of Newstead, Inverell, New South Wales."
1081336,ANDERSON,FREDERICK CAMERON,F C,25,,02/02/1943,,Flight Lieutenant,Royal Canadian Air Force,,221 Sqdn.,Malta,'C/3409',MALTA MEMORIAL,"Panel 10, Column 1.","Son of Frederick Thomas Anderson and Ethel Maud Anderson, of Winnipeg, Manitoba, Canada."
1081337,ANDERSON,FREDERICK WALLACE,F W,23,,14/08/1943,,Leading Aircraftman,Royal Air Force Volunteer Reserve,,,Malta,'1007276',MALTA MEMORIAL,"Panel 9, Column 2.","Son of Mr. and Mrs. D. Anderson, of Dundee."
1081338,ANDERSON,JOHN HUME,J H,,,14/08/1944,,Sergeant,Royal Air Force Volunteer Reserve,,614 Sqdn.,Malta,'1553109',MALTA MEMORIAL,"Panel 14, Column 2.","Son of Mr. and Mrs. J. Anderson, of Riddrie, Glasgow; husband of J. Anderson, of Mancetter, Warwickshire."
1081339,ANDERSON,SIDNEY WILFRED,S W,,,23/07/1943,,Flying Officer,Royal Air Force Volunteer Reserve,,144 Sqdn.,Malta,'131011',MALTA MEMORIAL,"Panel 6, Column 1.","Son of Neils Magnus Anderson and Elsie Anderson, of Eltham, London."
1081340,ANDERSON,WILLIAM EDWARD,W E,22,,18/03/1942,,Sergeant,Royal Australian Air Force,,,Malta,'402196',MALTA MEMORIAL,"Panel 5, Column 2.","Son of William and Florence Maud Anderson, of Matraville, New South Wales, Australia."
108144,ANDERSON,ALBERT VICTOR,A V,29,,21/08/1915,,Private,"Australian Infantry, A.I.F.",,4th Bn.,Egypt,'21102',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,E. 124.,"Son of Andrew and Eliza Anderson; husband of M. Anderson, of 77, Ryan St., Lilyfield, New South Wales. Born at Pyrmont, New South Wales."
108145,ANDERSON,ALEXANDER WEBSTER,A W,21,,10/07/1915,,Private,Royal Scots,,1st/4th Bn.,Egypt,'1088',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,K. 165.,"Son of Henry and Janet Swan Anderson, of 41, Balbirnie Place, Edinburgh."
108146,ANDERSON,ARTHUR,A,,,11/07/1915,,Private,"Australian Infantry, A.I.F.",,8th Bn.,Egypt,'639',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,K. 166.,"Son of James and Eliza S. Anderson, of Oaklands, Dimboola, Victoria."
108147,ANDERSON,ARTHUR PHILLIPS,A P,20,,25/08/1915,,Private,"Otago Regiment, N.Z.E.F.",,,Egypt,'8/1392A',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,K. 42.," Son of Alexander and Ann Elizabeth Anderson, of Matama, New Zealand."
108148,ANDERSON,DUDLEY MAURICE,D M,20,,23/05/1915,,Private,"Australian Infantry, A.I.F.",,11th Bn.,Egypt,'380',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,H. 99.,"Son of Alfred T. L. and Jane Elizabeth Anderson. Born at Talbot, Victoria."
108149,ANDERSON,,D,,,25/07/1915,,Private,Cameronians (Scottish Rifles),,1st/7th Bn.,Egypt,'2300',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,K. 93.,
108150,ANDERSON,ERNEST FRANCIS,E F,18,,14/08/1915,,Private,"Australian Infantry, A.I.F.",,14th Bn.,Egypt,'1903',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,J. 83.,"Son of Alex. and Mary Jane Anderson, of Dunolly, Victoria. Born at Bealiba, Victoria."
108151,ANDERSON,SENICA GEORGE,S G,25,,12/07/1915,,Private,"Australian Infantry, A.I.F.",,9th Bn.,Egypt,'1508',ALEXANDRIA (CHATBY) MILITARY AND WAR MEMORIAL CEMETERY,L. 36.,"Son of Lars and Ellen Anderson, of Tiaro, Queensland."
1082762,ANDERSON,ALEXANDER JOHN,A J,22,,26/08/1944,,Pilot Officer,Royal Canadian Air Force,,61 Sqdn.,United Kingdom,'J/90357',RUNNYMEDE MEMORIAL,Panel 249.,"Son of William and Jessie Anderson, of Minnedosa, Manitoba, Canada."
1082763,ANDERSON,ALFRED,A,27,,23/10/1942,,Sergeant,Royal Air Force Volunteer Reserve,,158 Sqdn.,United Kingdom,'938999',RUNNYMEDE MEMORIAL,Panel 77.,"Son of Alfred and Alice Parker Anderson, of Glasgow."
1082764,ANDERSON,ALFRED,A,32,,30/08/1944,,Sergeant,Royal Air Force Volunteer Reserve,,550 Sqdn.,United Kingdom,'1547680',RUNNYMEDE MEMORIAL,Panel 224.,"Son of Jim and Bertha Anderson, of Leeds, Yorkshire; husband of Ella Kathleen Anderson, of Leeds."
1082765,ANDERSON,ANGUS RONALD MATHESON,A R M,,,05/07/1941,,Aircraftman 2nd Class,Royal Air Force Volunteer Reserve,,,United Kingdom,'1011819',RUNNYMEDE MEMORIAL,Panel 58.,
1082766,ANDERSON,ANTON DAVID,A D,32,,21/01/1945,,Warrant Officer,Royal Australian Air Force,,,United Kingdom,'414332',RUNNYMEDE MEMORIAL,Panel 283.,"Son of Jack and Elenore Lillian Anderson; husband of Dorothy Joyce Anderson, of East Sherwood, Queensland, Australia."
1082767,ANDERSON,ARBUTHNOT GEORGE,A G,,,31/03/1945,,Flight Lieutenant,Royal Air Force Volunteer Reserve,,299 Sqdn.,United Kingdom,'128941',RUNNYMEDE MEMORIAL,Panel 265.,
1082768,ANDERSON,CHARLES BEATTY,C B,27,D F C,30/07/1943,,Flying Officer,Royal Australian Air Force,,460 Sqdn.,United Kingdom,'416735',RUNNYMEDE MEMORIAL,Panel 187.,"Son of Emil and Mary Ann Anderson, of Franklin, South Australia."
1082769,ANDERSON,CHARLES NORMAN,C N,22,,10/09/1942,,Sergeant,Royal Air Force,,75 (R.N.Z.A.F.) Sqdn.,United Kingdom,'658255',RUNNYMEDE MEMORIAL,Panel 77.,Son of Thomas and Margaret Anderson.
1082770,ANDERSON,CLARENCE HOWARD,C H,28,,31/08/1943,,Pilot Officer,Royal Canadian Air Force,,9 (R.A.F.) Sqdn.,United Kingdom,'J/18417',RUNNYMEDE MEMORIAL,Panel 175.,"Son of John Stewart Anderson, and of Myrtle May Anderson, of Calgary, Alberta, Canada; husband of Edith Anderson, of Palmer, Saskatchewan, Canada."
1082771,ANDERSON,DAVID,D,22,,03/10/1943,,Flying Officer,Royal Australian Air Force,,,United Kingdom,'408946',RUNNYMEDE MEMORIAL,Panel 187.,"Son of Alfred and Hazel Gordon Anderson, of Kew, Victoria, Australia."
1082772,ANDERSON,DAVID,D,20,,07/11/1945,,Flight Sergeant,Royal Air Force Volunteer Reserve,,279 Sqdn.,United Kingdom,'1825170',RUNNYMEDE MEMORIAL,Panel 270.,"Son of David K. and Irene J. Anderson, of Aberdeen."
1082773,ANDERSON,DAVID ANGUS,D A,20,,31/03/1944,,Sergeant,Royal Air Force Volunteer Reserve,,207 Sqdn.,United Kingdom,'1317943',RUNNYMEDE MEMORIAL,Panel 224.,"Son of William Henry Anderson, and of Margaret Anderson, of Bideford, Devon."
1082774,ANDERSON,DONALD DAVIE,D D,,,29/11/1942,,Flight Sergeant,Royal Canadian Air Force,,204 Sqdn.,United Kingdom,'R/114569',RUNNYMEDE MEMORIAL,Panel 102.,"Son of James M. and Mary M. Anderson, of Lethbridge, Alberta, Canada."
1082775,ANDERSON,EDWARD,E,31,,20/01/1944,,Flying Officer,Royal Air Force Volunteer Reserve,,83 Sqdn.,United Kingdom,'156267',RUNNYMEDE MEMORIAL,Panel 204.,"Son of Edward and Frances Anderson, of Nelson, Lancashire; husband of Alicia Anderson, of Nelson."
1082776,ANDERSON,ERIC JAMES,E J,20,,19/08/1944,,Flight Sergeant,Royal Australian Air Force,,51 (R.A.F.) Sqdn.,United Kingdom,'423579',RUNNYMEDE MEMORIAL,Panel 259.,"Son of John Nowell Anderson and Millicent Florence Anderson, of Mortlake, New South Wales, Australia."
1082777,ANDERSON,ERIC REGINALD HAROLD,E R H,,,19/03/1942,,Sergeant,Royal Air Force Volunteer Reserve,,236 Sqdn.,United Kingdom,'1054882',RUNNYMEDE MEMORIAL,Panel 77.,"Son of Henry Harold and Emily Lilian Anderson, of Bootle, Lancashire."
1082778,ANDERSON,EVAN MACDONALD,E M,25,,08/10/1943,,Flight Sergeant,Royal Canadian Air Force,,,United Kingdom,'R/159275',RUNNYMEDE MEMORIAL,Panel 181.,"Son of Evan Macdonald Anderson and Marjorie Fraser McIntosh Anderson, of Rocky Mountain House, Alberta, Canada; husband of H. B. Anderson, of New Dayton, Alberta."
1082779,ANDERSON,FLOYD ROGER WILLIS,F R W,,,07/04/1943,,Flight Sergeant,Royal Canadian Air Force,,405 Sqdn.,United Kingdom,'R/98929',RUNNYMEDE MEMORIAL,Panel 181.,
1082780,ANDERSON,FREDERICK,F,,,30/03/1944,,Pilot Officer,Royal Canadian Air Force,,138 Sqdn.,United Kingdom,'J/86041',RUNNYMEDE MEMORIAL,Panel 249.,
1082781,ANDERSON,FREDERICK LAWRENCE,F L,22,,20/06/1940,,Sergeant,Royal Air Force Volunteer Reserve,,,United Kingdom,'743074',RUNNYMEDE MEMORIAL,Panel 11.,"Son of Frederick and Elizabeth Mary Anderson, of Nottingham."
1082782,ANDERSON,GEORGE,G,,,31/03/1945,,Pilot Officer,Royal Canadian Air Force,,415 Sqdn.,United Kingdom,'J/95243',RUNNYMEDE MEMORIAL,Panel 280.,
1082783,ANDERSON,GEORGE HENRY,G H,20,,21/01/1943,,Sergeant,Royal Air Force,,103 Sqdn.,United Kingdom,'573205',RUNNYMEDE MEMORIAL,Panel 140.,"Son of Walter Henry and Winifred Anderson, of Streatham, London."
1082784,ANDERSON,HENRY GORDON,H G,29,,12/02/1942,,Pilot Officer,Royal Canadian Air Force,,419 Sqdn.,United Kingdom,'J/6490',RUNNYMEDE MEMORIAL,Panel 99.,Son of James and Louise Anderson.
1082785,ANDERSON,JOHN ALBERT,J A,21,,12/08/1941,,Sergeant,Royal Air Force Volunteer Reserve,,226 Sqdn.,United Kingdom,'751818',RUNNYMEDE MEMORIAL,Panel 38.,"Son of Arthur B. Anderson, and of Annie Anderson, of Reading, Berkshire."
1082786,ANDERSON,JOHN MCINTOSH,J M,19,,04/11/1943,,Sergeant,Royal Air Force Volunteer Reserve,,12 Sqdn.,United Kingdom,'1553367',RUNNYMEDE MEMORIAL,Panel 140.,"Son of William and Margaret Anderson, of Bonnybridge, Stirlingshire."
1082787,ANDERSON,JOHN SINGER,J S,,,18/04/1947,,Pilot II,Royal Air Force Volunteer Reserve,,202 Sqdn.,United Kingdom,'1567951',RUNNYMEDE MEMORIAL,Panel 286.,
1082788,ANDERSON,LEONARD ROY,L R,24,,07/12/1942,,Flight Sergeant,Royal Canadian Air Force,,101 (R.A.F.) Sqdn.,United Kingdom,'R/91822',RUNNYMEDE MEMORIAL,Panel 102.,"Son of Otto and Anna Anderson, of Kildonan, Winnipeg, Manitoba, Canada; husband of Louise Anderson, of Winnipeg, Manitoba."
1082789,ANDERSON,LESLIE HERBERT,L H,26,,15/07/1941,,Sergeant,Royal Air Force Volunteer Reserve,,,United Kingdom,'907274',RUNNYMEDE MEMORIAL,Panel 38.,"Son of Mabel Anderson, of Southampton."
1082791,ANDERSON,NEWTON,N,32,Mentioned in Despatches,29/06/1942,,Squadron Leader,Royal Air Force Volunteer Reserve,,222 Sqdn.,United Kingdom,'87008',RUNNYMEDE MEMORIAL,Panel 65.,"Son of James McCullock Anderson and Alma Anderson; husband of Phyllis Maud Anderson, of Notting Hill, London."
1082792,ANDERSON,NIGEL MCCOLL,N M,,,06/09/1944,,Sergeant,Royal Air Force Volunteer Reserve,,423 Sqdn.,United Kingdom,'1365274',RUNNYMEDE MEMORIAL,Panel 224.,
1082793,ANDERSON,PETER JACQUES PELHAM,P J P,19,,01/09/1941,,Pilot Officer,Royal Air Force Volunteer Reserve,,118 Sqdn.,United Kingdom,'66595',RUNNYMEDE MEMORIAL,Panel 31.,"Son of Pelham and Grace Edna Anderson, of Maidenhead, Berkshire."
1082794,ANDERSON,PETER THOMAS,P T,25,,22/02/1941,,Flying Officer,Royal Air Force Volunteer Reserve,,209 Sqdn.,United Kingdom,'84833',RUNNYMEDE MEMORIAL,Panel 29.,"Son of John Sloane Anderson and Sylvia Perring Anderson; husband of Mary Eira Anderson (nee Morris), of Wicklow, Republic of Ireland. B.A., M.R.C.S., L.R.C.P."
1082795,ANDERSON,RICHARD,R,,,27/01/1944,,Sergeant,Royal Air Force Volunteer Reserve,,57 Sqdn.,United Kingdom,'991776',RUNNYMEDE MEMORIAL,Panel 224.,
1082796,ANDERSON,RICHARD JOHN,R J,23,,02/07/1942,,Flight Sergeant,Royal Canadian Air Force,,218 (Gold Coast) Sqdn,United Kingdom,'R/77386',RUNNYMEDE MEMORIAL,Panel 102.,"Son of James William and Muriel E. Anderson, of St. Lambert, Province of Quebec, Canada."
1082797,ANDERSON,ROBERT,R,26,,22/11/1943,,Sergeant,Royal Air Force Volunteer Reserve,,,United Kingdom,'976296',RUNNYMEDE MEMORIAL,Panel 140.,"Son of John and Bethia Anderson; husband of Agnes Crawford Anderson, of Innellan, Argyllshire."
